"","variable","type","obs","miss","miss.per","mean","median","sd","min","max","unique","mode.per","cat","q25","q75","outlier_3d","outlier.per"
"2","CDMS_COPD","numeric","74741","0","0","0.242089348550327","0","2.34880401966976","0","92","77","0.967527862886501","-","0","0","682","0.0091"
"3","CD_COUNTS_P0_24","numeric","74741","0","0","1.05397305361181","0","2.96768852419444","0","80","71","0.700672990727981","-","0","1","1419","0.019"
"4","GERMED_LASTTIME","numeric","74741","20460","0.274","0.0979900886129585","0","0.297303985036468","0","1","2","0.655088907025595","-","0","0","5319","0.0712"
"5","AGE","numeric","74741","1077","0.014","60.446934730669","63","19.452108254251","0","112","100","0.0212868439009379","-","47","76","2","0"
"6","CT_RD90_DRP_LMD_P0_24","numeric","74741","0","0","0.0947806424853829","0","0.865589414890438","0","31","32","0.962430259161638","-","0","0","660","0.0088"
"7","DRP_COUNTS_P0_12","numeric","74741","0","0","0.752879945411488","0","2.42037691538324","0","89","68","0.738777913059766","-","0","1","911","0.0122"
"8","GRPR_NUM_ATCMED_P0_12","numeric","74741","16894","0.226","0.336733106297647","0","1.00037831089063","0","13","14","0.652774247066536","-","0","0","1551","0.0208"
"9","P0_12_AVG_33037-3","numeric","74741","34016","0.455","19.5112309488147","19.2090909090909","2.73178905866678","3.2","56.6","7189","0.00516450141154119","-","17.7666666666667","20.88","438","0.0059"
"10","UROLOGY_LASTTIME","numeric","74741","24805","0.332","0.0195049663569369","0","0.138292825673241","0","1","2","0.655088907025595","-","0","0","974","0.013"
"11","CCI_PULMONARY","numeric","74741","0","0","0.139655610708982","0","1.3353245726847","0","60","45","0.967568001498508","-","0","0","622","0.0083"
"12","CDMS_ASTHMA","numeric","74741","0","0","0.175673325216414","0","1.418461786765","0","46","44","0.964597744210005","-","0","0","917","0.0123"
"13","DURATION_AVG_P0_12","numeric","74741","48789","0.653","33.2224646566618","28.8571428571429","20.9648103672316","1","506.5","12292","0.012777458155497","-","20.3333333333333","42.167199593336","315","0.0042"
"14","P0_12SOC","numeric","74741","0","0","4.10402590278428","1","7.13908256343555","0","135","88","0.480298631273331","-","0","6","1589","0.0213"
"15","NUM_CCI","numeric","74741","0","0","0.213122650218755","0","0.619375082188478","0","7","8","0.854952435744772","-","0","0","1250","0.0167"
"16","LOS_CURRENT","numeric","74741","0","0","5.71092171632705","3","10.7336574313916","1","793","180","0.22505719752211","-","2","6","748","0.01"
"17","CDMS_HYPERTENSION","numeric","74741","0","0","0.985121954482814","0","3.24625606302467","0","67","68","0.776133581300759","-","0","0","1516","0.0203"
"18","GRPC_NUM_ATCMED_P0_12","numeric","74741","5544","0.074","0.951500787606399","0","1.80973737931545","0","14","15","0.652774247066536","-","0","1","1411","0.0189"
"19","NUM_SPEC_P12_24","numeric","74741","0","0","1.50344523086392","0","2.27239946805745","0","19","19","0.539690397506054","-","0","2","1321","0.0177"
"20","P0_12_AVG_14631-6","numeric","74741","45550","0.609","12.5529455355831","9","16.4673114391564","1.9","380.125","1717","0.0266654179098487","-","6","13.25","462","0.0062"
"21","DAYS_SINCE_LAST_INP","numeric","74741","0","0","478.866512356003","730","306.660936344196","1","730","730","0.553484700499057","-","113","730","0","0"
"22","GRPN_NUM_ATCMED_P0_12","numeric","74741","5859","0.078","0.583055079701518","0","1.13864671349955","0","12","12","0.652774247066536","-","0","1","2237","0.0299"
"23","GASTRO_LASTTIME","numeric","74741","24436","0.327","0.0266971474008548","0","0.161198406533988","0","1","2","0.655088907025595","-","0","0","1343","0.018"
"24","P0_6ED","numeric","74741","0","0","1.03945625560268","1","1.82789260537993","0","55","46","0.467949318312573","-","0","1","1056","0.0141"
"25","CDMS_CHD","numeric","74741","0","0","0.566462851714588","0","2.64377603497248","0","60","61","0.882460764506763","-","0","0","1431","0.0191"
"26","CDMS_HF","numeric","74741","0","0","0.200599403272635","0","1.58915499846138","0","66","59","0.942267296396891","-","0","0","823","0.011"
"27","NUM_DISCHARGE_SPEC_P0_12","numeric","74741","0","0","0.646418966832127","0","0.899728752545592","0","7","8","0.568884547972331","-","0","1","830","0.0111"
"28","GENSUR_NUM_VISIT_P0_12","numeric","74741","46080","0.617","0.478838840235861","0","1.06417287756723","0","18","16","0.284756693113552","-","0","1","713","0.0095"
"29","LOS_LASTTIME","numeric","74741","41421","0.554","6.56662665066026","4","10.6338481518907","0","408","133","0.0626563733426098","-","2","8","340","0.0045"
"30","NUM_DRUGGRP_P0_12","numeric","74741","0","0","1.80857895933959","0","2.73533342733088","0","12","13","0.652867903827886","-","0","4","94","0.0013"
"31","CCI_DIABETES_NO_LONG","numeric","74741","0","0","0.138625386334141","0","1.29050743936622","0","54","47","0.963353447237794","-","0","0","594","0.0079"
